DATETIME,ID,LOCATION,TARGET,AVERAGE
7/29/2016 1:59,4E1GS,A,0.4,0.553
7/29/2016 2:09,K93EY,A,0.4,0.4645
7/29/2016 2:19,L52UC,A,0.4,0.4824
7/29/2016 2:29,L52V4,A,0.4,0.4512
7/29/2016 2:39,K93EU,A,0.4,0.4097
7/29/2016 2:49,L52TU,A,0.4,0.4444
7/29/2016 2:59,J71AO,A,0.4,0.4924
7/29/2016 3:09,L52T4,A,0.4,0.4726
7/29/2016 3:19,G90LQ,A,0.4,0.4169
7/29/2016 3:29,J71DC,A,0.4,0.4314
7/29/2016 3:39,L52TG,A,0.4,0.4964
7/29/2016 3:49,L52UE,A,0.4,0.4465
7/29/2016 3:59,L52Q6,A,0.4,0.5032
7/29/2016 4:09,J714I,A,0.4,0.5079
7/29/2016 4:19,J71A6,A,0.4,0.4748
7/29/2016 4:29,G90KK,A,0.4,0.5297
7/29/2016 4:39,K93KS,A,0.4,0.4727
7/29/2016 4:49,J71CM,A,0.4,0.3775
7/29/2016 4:59,K93AI,A,0.4,0.4613
7/29/2016 5:09,J71AI,A,0.4,0.4802
7/29/2016 5:19,L52WC,A,0.4,0.5164
7/29/2016 5:29,L52US,A,0.4,0.545
7/29/2016 5:39,K93CS,A,0.4,0.5322
7/29/2016 5:49,J718A,A,0.4,0.4754
7/29/2016 5:59,L52SQ,A,0.4,0.475
7/29/2016 6:09,L52TI,A,0.4,0.4863
7/29/2016 6:19,L52S6,A,0.4,0.4675
7/29/2016 6:29,K93B8,A,0.4,0.4926
7/29/2016 6:39,L52XC,A,0.4,0.4945
7/29/2016 6:49,L52PI,A,0.4,0.4982
7/29/2016 6:59,J719O,A,0.4,0.4666
7/29/2016 7:09,L52TC,A,0.4,0.4757
7/29/2016 7:19,K93FY,A,0.4,0.4952
7/29/2016 7:29,L52TS,A,0.4,0.5024
7/29/2016 7:39,J71CQ,A,0.4,0.492
7/29/2016 7:49,L52S8,A,0.4,0.4293
7/29/2016 7:59,K93FU,A,0.4,0.4649
7/29/2016 8:09,J71A2,A,0.4,0.4731
7/29/2016 8:19,L52X0,A,0.4,0.4431
7/29/2016 8:29,J7192,A,0.4,0.5321
7/29/2016 8:39,J71AC,A,0.4,0.4663
7/29/2016 8:49,K9352,A,0.4,0.4504
7/29/2016 8:59,J71EY,A,0.4,0.49
7/29/2016 9:09,J71A8,A,0.4,0.5146
7/29/2016 9:19,K939A,A,0.4,0.4752
7/29/2016 9:29,L52T8,A,0.4,0.4269
7/29/2016 9:39,L52SK,A,0.4,0.5104
7/29/2016 9:49,L52WK,A,0.4,0.4712
7/29/2016 9:59,K93EE,A,0.4,0.467
7/29/2016 10:09,L52XW,A,0.4,0.4176
7/29/2016 10:19,L52UQ,A,0.4,0.4878
7/29/2016 10:29,L52V6,A,0.4,0.4517
7/29/2016 10:39,J909Q,A,0.4,0.4516
7/29/2016 10:49,K93NW,A,0.4,0.4733
7/29/2016 10:59,J71B4,A,0.4,0.4912
7/29/2016 11:09,L52UM,A,0.4,0.5086
7/29/2016 11:19,J71A4,A,0.4,0.5082
7/29/2016 11:29,J71DI,A,0.4,0.4745
7/29/2016 11:39,J71CU,A,0.4,0.4994
7/29/2016 11:49,L52Y2,A,0.4,0.416
7/29/2016 11:59,L52T6,A,0.4,0.4705
7/29/2016 12:09,9ZAI2,A,0.4,0.5451
7/29/2016 12:19,J717O,A,0.4,0.4716
7/29/2016 12:29,J71F6,A,0.4,0.5161
7/29/2016 12:39,H70BS,A,0.4,0.5588
7/29/2016 12:49,H70BQ,A,0.4,0.5623
7/29/2016 12:59,H70BW,A,0.4,0.4566
7/29/2016 13:09,L52UW,A,0.4,0.509
7/29/2016 13:19,L52YU,A,0.4,0.4623
7/29/2016 13:29,G90K8,A,0.4,0.4375
7/29/2016 13:39,K93NQ,A,0.4,0.4868
7/29/2016 13:49,K93NO,A,0.4,0.4705
7/29/2016 13:59,J719K,A,0.4,0.4873
7/29/2016 14:09,9ZAI0,A,0.4,0.5077
7/29/2016 14:19,H70BY,A,0.4,0.5169
7/29/2016 14:29,J717G,A,0.4,0.5051
7/29/2016 14:39,L52X4,A,0.4,0.4879
7/29/2016 14:49,L52UA,A,0.4,0.468
7/29/2016 14:59,L52UU,A,0.4,0.4797
7/29/2016 15:09,G90KI,A,0.4,0.4165
7/29/2016 15:19,J717Q,A,0.4,0.5022
7/29/2016 15:29,J718M,A,0.4,0.4786
