DATETIME,ID,LOCATION,TARGET,AVERAGE
7/30/2016 0:57,3J2XI,B,0.7,0.4986
7/30/2016 1:07,3J2Y0,B,0.7,0.5309
7/30/2016 1:17,3J2WE,B,0.7,0.5255
7/30/2016 1:27,3J2X6,B,0.7,0.4709
7/30/2016 1:37,3J2ZU,B,0.7,0.55
7/30/2016 1:47,5X63M,B,0.7,0.6798
7/30/2016 1:57,5X63S,B,0.7,0.6656
7/30/2016 2:07,3J304,B,0.7,0.5276
7/30/2016 2:17,3J2XE,B,0.7,0.4909
7/30/2016 2:27,3J27E,B,0.7,0.4919
7/30/2016 2:37,3J2Z8,B,0.7,0.5067
7/30/2016 2:47,3J20Q,B,0.7,0.4973
7/30/2016 2:57,3J2XC,B,0.7,0.5217
7/30/2016 3:07,3J2ZY,B,0.7,0.4707
7/30/2016 3:17,3J2YA,B,0.7,0.5441
7/30/2016 3:27,3J32E,B,0.7,0.4884
7/30/2016 3:37,5X648,B,0.7,0.6911
7/30/2016 3:47,5X62G,B,0.7,0.7432
7/30/2016 3:57,5X64A,B,0.7,0.6105
7/30/2016 4:07,5X63U,B,0.7,0.5469
7/30/2016 4:17,5X63W,B,0.7,0.6089
7/30/2016 4:27,3J28W,B,0.7,0.4565
7/30/2016 4:37,3J2PY,B,0.7,0.5023
7/30/2016 4:47,3J2WW,B,0.7,0.5021
7/30/2016 4:57,3J2Y8,B,0.7,0.5569
7/30/2016 5:07,3J27Q,B,0.7,0.5023
7/30/2016 5:17,5X63Q,B,0.7,0.6849
7/30/2016 5:27,5X63A,B,0.7,0.6033
7/30/2016 5:37,5X65Y,B,0.7,0.6964
7/30/2016 5:47,5X63Y,B,0.7,0.6838
7/30/2016 5:57,3J2YU,B,0.7,0.557
7/30/2016 6:07,3J2MG,B,0.7,0.5237
7/30/2016 6:17,3J2QY,B,0.7,0.4427
7/30/2016 6:27,5X64E,B,0.7,0.6817
7/30/2016 6:37,3J2Z4,B,0.7,0.565
7/30/2016 6:47,3J2YI,B,0.7,0.5343
7/30/2016 6:57,3J21S,B,0.7,0.4376
7/30/2016 7:07,3J34E,B,0.7,0.5259
7/30/2016 7:17,3J2ZQ,B,0.7,0.5168
7/30/2016 7:27,3J2LK,B,0.7,0.479
7/30/2016 7:37,3J2XY,B,0.7,0.5319
7/30/2016 7:47,3J290,B,0.7,0.4869
