DATETIME,ID,LOCATION,TARGET,AVERAGE
7/28/2016 22:35,4S10K,D,0.485,0.4954
7/28/2016 22:45,J71C6,D,0.485,0.4404
7/28/2016 22:55,S50O0,D,0.485,0.5158
7/28/2016 23:05,S50O2,D,0.485,0.4854
7/28/2016 23:15,J90EE,D,0.485,0.5398
7/28/2016 23:25,J90EU,D,0.485,0.5026
7/28/2016 23:35,9ZAIO,D,0.485,0.4895
7/28/2016 23:45,1A10S,D,0.485,0.5057
7/28/2016 23:55,1A10U,D,0.485,0.4748
7/29/2016 0:05,J90DU,D,0.485,0.517
7/29/2016 0:15,J90DW,D,0.485,0.5267
7/29/2016 0:25,S50O6,D,0.485,0.5068
7/29/2016 0:35,S50O4,D,0.485,0.4685
7/29/2016 0:45,7R0BU,D,0.485,0.4501
7/29/2016 0:55,J90D4,D,0.485,0.4922
7/29/2016 1:05,J90E0,D,0.485,0.5152
7/29/2016 1:15,L52YQ,D,0.485,0.434
7/29/2016 1:25,S50O8,D,0.485,0.4804
7/29/2016 1:35,1A10K,D,0.485,0.5015
7/29/2016 1:45,9ZAL4,D,0.485,0.4522
7/29/2016 1:55,J90D2,D,0.485,0.5183
7/29/2016 2:05,L52XM,D,0.485,0.4481
7/29/2016 2:15,J71EC,D,0.485,0.4568
7/29/2016 2:25,J714U,D,0.485,0.4713
7/29/2016 2:35,4X1P8,D,0.485,0.4329
7/29/2016 2:45,7R0BO,D,0.485,0.5273
7/29/2016 2:55,4X1P2,D,0.485,0.4488
7/29/2016 3:05,4X1PG,D,0.485,0.4211
7/29/2016 3:15,1A10M,D,0.485,0.5009
7/29/2016 3:25,W2006,D,0.485,0.4967
7/29/2016 3:35,8M18O,D,0.485,0.4766
7/29/2016 3:45,8M18M,D,0.485,0.5281
7/29/2016 3:55,8M122,D,0.485,0.477
7/29/2016 4:05,W200A,D,0.485,0.3963
7/29/2016 4:15,7F3AA,D,0.485,0.5334
7/29/2016 4:25,8M114,D,0.485,0.5346
7/29/2016 4:35,N800U,D,0.485,0.4955
7/29/2016 4:45,8M18Q,D,0.485,0.5052
7/29/2016 4:55,J71DG,D,0.485,0.4841
7/29/2016 5:05,8M10G,D,0.485,0.4968
7/29/2016 5:15,7R0BY,D,0.485,0.5041
7/29/2016 5:25,8M116,D,0.485,0.4924
7/29/2016 5:35,8M11S,D,0.485,0.5218
7/29/2016 5:45,L52SO,D,0.485,0.4475
7/29/2016 5:55,7R0C0,D,0.485,0.4581
7/29/2016 6:05,5F0XQ,D,0.485,0.4637
7/29/2016 6:15,5F0YE,D,0.485,0.422
7/29/2016 6:25,4X1PK,D,0.485,0.4475
7/29/2016 6:35,5F0XK,D,0.485,0.4954
7/29/2016 6:45,N800Y,D,0.485,0.5009
7/29/2016 6:55,L530Q,D,0.485,0.4731
7/29/2016 7:05,N800C,D,0.485,0.4671
7/29/2016 7:15,W200Q,D,0.485,0.4533
7/29/2016 7:25,7V2X0,D,0.485,0.463
7/29/2016 7:35,N802C,D,0.485,0.5161
7/29/2016 7:45,N8022,D,0.485,0.4976
7/29/2016 7:55,5F0XM,D,0.485,0.4807
7/29/2016 8:05,W200S,D,0.485,0.4747
7/29/2016 8:15,L5306,D,0.485,0.4771
7/29/2016 8:25,L52WO,D,0.485,0.4492
7/29/2016 8:35,5F0YC,D,0.485,0.4092
7/29/2016 8:45,J71DS,D,0.485,0.424
7/29/2016 8:55,J71GG,D,0.485,0.4472
7/29/2016 9:05,W200U,D,0.485,0.4268
7/29/2016 9:15,J71H6,D,0.485,0.497
7/29/2016 9:25,W200K,D,0.485,0.5294
7/29/2016 9:35,N8024,D,0.485,0.4668
7/29/2016 9:45,K93TY,D,0.485,0.4943
7/29/2016 9:55,Y303I,D,0.485,0.5358
7/29/2016 10:05,Y3038,D,0.485,0.5373
7/29/2016 10:15,J90BK,D,0.485,0.4399
7/29/2016 10:25,K93XO,D,0.485,0.4153
7/29/2016 10:35,7R0BW,D,0.485,0.4728
7/29/2016 10:45,Y303M,D,0.485,0.5028
7/29/2016 10:55,L530K,D,0.485,0.4797
7/29/2016 11:05,W200M,D,0.485,0.4926
7/29/2016 11:15,W200I,D,0.485,0.4462
7/29/2016 11:25,Y3034,D,0.485,0.4479
7/29/2016 11:35,K943G,D,0.485,0.4836
7/29/2016 11:45,K93XC,D,0.485,0.418
7/29/2016 11:55,J90D0,D,0.485,0.4715
7/29/2016 12:05,7F3A8,D,0.485,0.4119
7/29/2016 12:15,Y3032,D,0.485,0.4507
7/29/2016 12:25,J90ES,D,0.485,0.482
7/29/2016 12:35,J71M2,D,0.485,0.4508
7/29/2016 12:45,J90EG,D,0.485,0.434
7/29/2016 12:55,8M16I,D,0.485,0.4472
7/29/2016 13:05,K93XY,D,0.485,0.4723
7/29/2016 13:15,J718G,D,0.485,0.465
7/29/2016 13:25,9ZAK2,D,0.485,0.4674
7/29/2016 13:35,5F0XC,D,0.485,0.5124
7/29/2016 13:45,L52RS,D,0.485,0.4752
7/29/2016 13:55,N805C,D,0.485,0.4674
7/29/2016 14:05,W200G,D,0.485,0.5118
7/29/2016 14:15,9ZAII,D,0.485,0.5061
7/29/2016 14:25,J71MA,D,0.485,0.4894
7/29/2016 14:35,K94EW,D,0.485,0.465
7/29/2016 14:45,L531W,D,0.485,0.4376
7/29/2016 14:55,N801A,D,0.485,0.444
7/29/2016 15:05,W200O,D,0.485,0.4874
7/29/2016 15:15,N8010,D,0.485,0.5252
7/29/2016 15:25,9ZAIK,D,0.485,0.5063
7/29/2016 15:35,9ZAIM,D,0.485,0.5049
7/29/2016 15:45,8M16O,D,0.485,0.484
7/29/2016 15:55,N802Q,D,0.485,0.491
7/29/2016 16:05,4X1PS,D,0.485,0.4833
7/29/2016 16:15,J71LU,D,0.485,0.4996
7/29/2016 16:25,L5320,D,0.485,0.4717
7/29/2016 16:35,N8012,D,0.485,0.496
7/29/2016 16:45,8M15C,D,0.485,0.4963
7/29/2016 16:55,L52VK,D,0.485,0.501
7/29/2016 17:05,L535E,D,0.485,0.3892
7/29/2016 17:15,J71O2,D,0.485,0.4411
7/29/2016 17:25,K9458,D,0.485,0.4573
7/29/2016 17:35,K943Y,D,0.485,0.4908
7/29/2016 17:45,J71EO,D,0.485,0.5165
7/29/2016 17:55,4X1P4,D,0.485,0.4555
7/29/2016 18:05,5F0XI,D,0.485,0.4684
7/29/2016 18:15,5F0Y8,D,0.485,0.4228
7/29/2016 18:25,L536O,D,0.485,0.3738
7/29/2016 18:35,J71LW,D,0.485,0.4006
7/29/2016 18:45,Y303Q,D,0.485,0.5293
7/29/2016 18:55,J90EW,D,0.485,0.482
7/29/2016 19:05,J90F0,D,0.485,0.4659
7/29/2016 19:15,4X1PO,D,0.485,0.456
7/29/2016 19:25,K946K,D,0.485,0.4903
7/29/2016 19:35,J71QY,D,0.485,0.4877
7/29/2016 19:45,4X1Q6,D,0.485,0.4727
